,tweet_id,retweet_count,favorite_count
72,878404777348136964,1072,0
73,878316110768087041,5501,0
74,878281511006478336,1072,6757
75,878057613040115712,5714,37029
76,877736472329191424,15739,69069
77,877611172832227328,70,0
78,877556246731214848,3153,19839
79,877316821321428993,4322,24077
80,877201837425926144,4604,23798
81,876838120628539392,2795,18172
82,876537666061221889,3962,20993
83,876484053909872640,1991,16512
84,876120275196170240,3891,24617
85,875747767867523072,3569,22040
86,875144289856114688,4133,19372
87,875097192612077568,5095,24175
88,875021211251597312,3955,22497
89,874680097055178752,3908,24527
90,874434818259525634,12163,0
91,874296783580663808,3471,22895
92,874057562936811520,3368,20058
93,874012996292530176,8553,30036
94,873580283840344065,3333,21321
95,873337748698140672,1327,0
96,873213775632977920,1327,6300
97,872967104147763200,4545,23981
98,872820683541237760,3158,13037
99,872620804844003328,3058,18275
100,872486979161796608,7689,36005
101,872122724285648897,6806,30113
102,871879754684805121,9212,32988
103,871762521631449091,2959,17821
104,871515927908634625,2927,17846
105,871166179821445120,4880,0
106,871102520638267392,4658,18494
107,871032628920680449,3214,20105
108,870804317367881728,5266,29714
109,870726314365509632,3,105
110,870656317836468226,2190,10861
111,870374049280663552,22662,73740
112,870308999962521604,3535,19427
113,870063196459192321,7052,32325
114,869772420881756160,8662,37910
115,869702957897576449,5365,24971
116,869596645499047938,2629,14149
117,869227993411051520,3192,18089
118,868880397819494401,12204,57766
119,868639477480148993,1744,0
120,868622495443632128,4447,23581
121,868552278524837888,1744,8939
122,867900495410671616,3554,21536
123,867774946302451713,6228,30179
124,867421006826221569,2109,14302
125,867072653475098625,100,0
126,867051520902168576,6755,28618
127,866720684873056260,4120,17815
128,866686824827068416,2954,17078
129,866450705531457537,30068,108544
130,866334964761202691,12163,46448
131,866094527597207552,7139,0
132,865718153858494464,4817,22858
133,865359393868664832,4272,23532
134,865006731092295680,6637,24975
135,864873206498414592,7478,28767
136,864279568663928832,2571,13032
137,864197398364647424,7558,26567
138,863907417377173506,3579,18385
139,863553081350529029,3613,13636
140,863471782782697472,2085,0
141,863432100342583297,4545,21232
142,863427515083354112,80,1956
143,863079547188785154,949,7879
144,863062471531167744,2085,7503
145,862831371563274240,4446,17186
146,862722525377298433,3076,15294
147,862457590147678208,4232,18225
148,862096992088072192,19915,66074
149,861383897657036800,9232,32196
150,861288531465048066,3576,15310
151,861005113778896900,3321,14950
152,860981674716409858,1850,0
153,860924035999428608,676,0
154,860563773140209665,1850,6703
155,860524505164394496,4586,21201
156,860276583193509888,3057,16530
157,860184849394610176,5107,14967
158,860177593139703809,26619,0
159,859924526012018688,3573,17585
160,859851578198683649,3060,13950
161,859607811541651456,1360,16781
162,859196978902773760,26183,80322
163,859074603037188101,11923,30343
164,858860390427611136,7056,0
165,858843525470990336,3019,14091
166,858471635011153920,4244,19426
167,858107933456039936,2534,14198
168,857989990357356544,2261,14461
169,857746408056729600,9316,30724
170,857393404942143489,1436,5292
171,857263160327368704,3960,18208
172,857214891891077121,16,203
173,857062103051644929,146,0
174,857029823797047296,3473,17005
175,856543823941562368,2534,14795
176,856526610513747968,1651,10797
177,856288084350160898,15,488
178,856282028240666624,5565,25172
179,855862651834028034,21,303
180,855860136149123072,849,4398
181,855857698524602368,1854,10837
182,855851453814013952,16081,41814
183,855818117272018944,4800,24227
184,855459453768019968,7286,27034
185,855245323840757760,5249,0
186,855138241867124737,36,0
187,854732716440526848,5328,20630
188,854482394044301312,6001,26508
189,854365224396361728,4135,17154
190,854120357044912130,6573,29159
191,854010172552949760,2785,14803
192,853760880890318849,5105,26021
193,853639147608842240,8843,31468
194,853299958564483072,3162,14130
195,852936405516943360,1783,0
196,852912242202992640,1593,8229
197,852672615818899456,1905,13613
198,852553447878664193,3102,14864
199,852311364735569921,8846,30284
200,852226086759018497,6074,18308
201,852189679701164033,1416,10556
202,851591660324737024,3122,14927
203,851464819735769094,6293,22226
204,851224888060895234,5161,18993
205,850753642995093505,8058,28076
206,850380195714523136,2325,12052
207,850333567704068097,301,3185
208,850145622816686080,3387,15018
209,850019790995546112,4357,18742
210,849776966551130114,6800,27869
211,849668094696017920,4435,0
212,849412302885593088,2822,14650
213,849336543269576704,1684,10539
214,849051919805034497,7604,38928
215,848690551926992896,3914,23229
216,848324959059550208,4143,22786
217,848213670039564288,644,7533
218,848212111729840128,2712,15010
219,847978865427394560,2914,0
220,847971574464610304,394,0
221,847962785489326080,4563,21698
222,847842811428974592,1186,5004
223,847617282490613760,376,6456
224,847606175596138505,3075,17321
225,847251039262605312,3907,18933
226,847157206088847362,5243,18339
227,847116187444137987,2870,19842
228,846874817362120707,3542,18585
229,846514051647705089,10352,41094
230,846505985330044928,2754,13045
231,846153765933735936,8149,29038
232,846139713627017216,9146,28748
233,846042936437604353,2582,14783
234,845812042753855489,7845,26965
235,845677943972139009,4372,23372
236,845397057150107648,1616,7076
237,845306882940190720,4847,21573
238,845098359547420673,6926,0
239,844979544864018432,2306,12653
240,844973813909606400,2841,13908
241,844580511645339650,2807,15269
242,844223788422217728,1986,12676
243,843981021012017153,2698,14085
244,843856843873095681,4163,19925
245,843604394117681152,2476,15664
246,843235543001513987,5388,19930
247,842846295480000512,3311,14191
248,842765311967449089,1175,6282
249,842535590457499648,3168,16884
250,842163532590374912,5249,22686
251,842115215311396866,2756,13008
252,841833993020538882,13531,0
253,841680585030541313,7143,24001
254,841439858740625411,3307,11704
255,841320156043304961,5012,18385
256,841314665196081154,4226,14717
257,841077006473256960,4880,21301
258,840761248237133825,1619,0
259,840728873075638272,14567,0
260,840698636975636481,2,163
261,840696689258311684,889,11460
262,840632337062862849,1619,8415
263,840370681858686976,4171,15315
264,840268004936019968,5205,17862
265,839990271299457024,2063,12511
266,839549326359670784,7056,25521
267,839290600511926273,132,0
268,839239871831150596,5922,25182
269,838952994649550848,3657,18334
270,838921590096166913,1853,10402
271,838916489579200512,31,0
272,838831947270979586,10001,0
273,838561493054533637,1230,10231
274,838476387338051585,4335,20934
275,838201503651401729,9159,0
276,838150277551247360,302,1567
277,838085839343206401,1,133
278,838083903487373313,2834,16434
279,837820167694528512,7139,31786
280,837482249356513284,405,3599
281,837471256429613056,2058,11964
282,837110210464448512,2175,15051
283,836989968035819520,2108,11926
284,836753516572119041,4256,18094
285,836677758902222849,2020,11827
286,836648853927522308,507,0
287,836397794269200385,25024,0
288,836380477523124226,2745,13879
289,836260088725786625,3975,19917
290,836001077879255040,3880,17863
291,835685285446955009,7404,0
292,835574547218894849,3293,16616
293,835536468978302976,1540,0
294,835309094223372289,19114,0
295,835297930240217089,2734,15407
296,835264098648616962,1540,7216
297,835246439529840640,63,1988
298,835172783151792128,5285,24525
299,835152434251116546,2755,20906
300,834931633769889797,1488,10080
301,834786237630337024,5104,20186
302,834574053763584002,2307,12789
303,834477809192075265,9745,0
304,834458053273591808,1544,9019
305,834209720923721728,4318,19205
306,834167344700198914,3358,14807
307,834089966724603904,1961,9425
308,834086379323871233,2037,12219
309,833863086058651648,2205,12595
310,833826103416520705,3483,17049
311,833732339549220864,204,0
312,833722901757046785,2993,19642
313,833479644947025920,1886,13977
314,833124694597443584,4435,18960
315,832998151111966721,2008,12403
316,832769181346996225,38,0
317,832757312314028032,3313,15822
318,832682457690300417,2663,11116
319,832645525019123713,484,2731
320,832636094638288896,2554,14860
321,832397543355072512,2035,11212
322,832369877331693569,2914,16046
323,832273440279240704,2140,10636
324,832215909146226688,5709,0
325,832215726631055365,8569,0
326,832088576586297345,2,59
327,832040443403784192,8803,0
328,832032802820481025,4295,16739
329,831939777352105988,5648,22442
330,831926988323639298,34,319
331,831911600680497154,5958,25782
332,831670449226514432,1686,9771
333,831650051525054464,1783,6668
334,831552930092285952,2157,8441
335,831322785565769729,1440,8734
336,831315979191906304,1036,6162
337,831309418084069378,2258,11063
338,831262627380748289,1885,11129
339,830956169170665475,1373,7497
340,830583320585068544,15377,62265
341,830173239259324417,5226,0
342,830097400375152640,2688,9137
343,829878982036299777,4590,0
344,829861396166877184,1790,11495
345,829501995190984704,9745,29819
346,829449946868879360,1856,9847
347,829141528400556032,6749,22866
348,829011960981237760,15061,50159
349,828801551087042563,3150,0
350,828770345708580865,5382,24022
351,828708714936930305,10294,34156
352,828650029636317184,1232,8929
353,828409743546925057,1078,6024
354,828408677031882754,1182,7233
355,828381636999917570,2055,11835
356,828376505180889089,991,6970
357,828372645993398273,2721,11840
358,828361771580813312,165,2064
359,828046555563323392,2648,11026
360,828011680017821696,1981,9750
361,827933404142436356,4813,18796
362,827653905312006145,2787,14551
363,827600520311402496,863,7050
364,827324948884643840,2798,14909
365,827199976799354881,2056,9972
366,826958653328592898,4590,20261
367,826848821049180160,9309,33965
368,826615380357632002,3671,0
369,826598799820865537,229,4848
370,826598365270007810,2173,9425
371,826476773533745153,3885,17329
372,826240494070030336,2411,12501
373,826204788643753985,855,4585
374,826115272272650244,2858,14705
375,825876512159186944,1735,9903
376,825829644528148480,2324,11989
377,825535076884762624,16308,53823
378,825147591692263424,4168,17209
379,825120256414846976,1165,0
380,825026590719483904,1165,5888
381,824796380199809024,5078,0
382,824775126675836928,3259,14020
383,824663926340194305,1637,9921
384,824325613288833024,9857,11142
385,824297048279236611,3556,14182
386,824025158776213504,556,4568
387,823939628516474880,2523,10039
388,823719002937630720,10316,0
389,823699002998870016,2331,13166
